1.921052631578947256e+01,2.552631578947368496e+01,5.789473684210525661e+00,2.105263157894736725e+00,2.526315789473684248e+01,1.000000000000000056e-01,7.522754285398887131e-01
9.736842105263157521e+00,1.763157894736842124e+01,2.631578947368420796e+00,4.210526315789473450e-01,4.210526315789473450e+00,1.000000000000000056e-01,8.269517969798361179e-01
2.236842105263157876e+01,2.552631578947368496e+01,3.684210526315789380e+00,1.684210526315789380e+00,2.947368421052631504e+01,1.000000000000000056e-01,8.039711458546900946e-01
9.736842105263157521e+00,1.921052631578947256e+01,3.157894736842105310e+00,4.210526315789473450e-01,1.052631578947368318e+01,1.000000000000000056e-01,8.560137153082685302e-01
1.605263157894736992e+01,2.394736842105263008e+01,4.210526315789473450e+00,8.421052631578946901e-01,8.421052631578946901e+00,1.000000000000000056e-01,8.362910823611979794e-01
2.394736842105263008e+01,2.552631578947368496e+01,2.631578947368420796e+00,5.052631578947368141e+00,8.421052631578946901e+00,1.000000000000000056e-01,7.302427128803685719e-01
1.921052631578947256e+01,2.236842105263157876e+01,4.210526315789473450e+00,2.526315789473684070e+00,1.263157894736842124e+01,1.000000000000000056e-01,8.443444335726338901e-01
1.921052631578947256e+01,2.710526315789473628e+01,4.210526315789473450e+00,3.789473684210526105e+00,1.052631578947368318e+01,1.000000000000000056e-01,7.867226834648911593e-01
2.078947368421052744e+01,2.868421052631579116e+01,6.315789473684210620e+00,4.210526315789473450e-01,3.157894736842105132e+01,1.000000000000000056e-01,8.099272446202021580e-01
1.289473684210526372e+01,2.236842105263157876e+01,4.210526315789473450e+00,1.263157894736842035e+00,1.684210526315789380e+01,1.000000000000000056e-01,7.862944077541881294e-01
1.447368421052631504e+01,2.394736842105263008e+01,2.105263157894736725e+00,2.105263157894736725e+00,2.105263157894736725e+00,1.000000000000000056e-01,8.301593833526450528e-01
2.236842105263157876e+01,2.394736842105263008e+01,3.157894736842105310e+00,2.947368421052631415e+00,2.315789473684210265e+01,1.000000000000000056e-01,7.817021451875548754e-01
1.447368421052631504e+01,2.552631578947368496e+01,3.684210526315789380e+00,1.684210526315789380e+00,1.263157894736842124e+01,1.000000000000000056e-01,8.015055544925200337e-01
1.289473684210526372e+01,2.394736842105263008e+01,3.684210526315789380e+00,2.105263157894736725e+00,8.421052631578946901e+00,1.000000000000000056e-01,7.220574309647294076e-01
