4.72E+00,3.94E+00,7.98E-01
2.61E+00,2.61E+00,8.37E-01
3.22E+00,3.26E+00,8.52E-01
5.78E+00,3.86E+00,7.43E-01
2.41E+00,3.82E+00,7.67E-01
3.22E+00,4.30E+00,7.88E-01
2.11E+00,9.25E-01,7.48E-01
3.87E+00,3.38E+00,8.22E-01
4.27E+00,4.22E+00,7.90E-01
2.51E+00,3.46E+00,7.75E-01
3.37E+00,3.30E+00,8.14E-01
3.37E+00,4.30E+00,7.92E-01
2.41E+00,2.33E+00,8.17E-01
5.78E+00,3.98E+00,7.31E-01
5.58E+00,4.30E+00,7.11E-01
2.86E+00,3.54E+00,8.02E-01
2.91E+00,2.69E+00,8.56E-01
2.36E+00,2.85E+00,8.10E-01
3.67E+00,3.30E+00,8.18E-01
2.06E+00,2.25E+00,7.63E-01
2.91E+00,3.14E+00,8.45E-01
3.37E+00,3.66E+00,8.23E-01
3.47E+00,3.86E+00,8.20E-01
2.61E+00,4.02E+00,7.76E-01
4.07E+00,3.42E+00,8.23E-01
3.02E+00,3.94E+00,8.03E-01
2.21E+00,3.22E+00,7.78E-01
2.06E+00,2.97E+00,7.61E-01
2.61E+00,3.22E+00,8.23E-01
4.17E+00,3.78E+00,8.21E-01
4.47E+00,3.58E+00,8.20E-01
2.76E+00,3.18E+00,8.35E-01
2.06E+00,3.70E+00,7.18E-01
2.81E+00,3.50E+00,7.99E-01
4.67E+00,4.34E+00,7.64E-01
5.13E+00,4.18E+00,7.56E-01
2.66E+00,2.69E+00,8.40E-01
2.96E+00,3.86E+00,8.05E-01
5.08E+00,3.94E+00,7.82E-01
4.77E+00,3.54E+00,8.12E-01
2.51E+00,2.97E+00,8.23E-01
4.52E+00,3.46E+00,8.18E-01
2.11E+00,2.21E+00,7.72E-01
2.91E+00,4.14E+00,7.88E-01
3.12E+00,3.46E+00,8.13E-01
3.42E+00,3.66E+00,8.24E-01
2.71E+00,3.38E+00,7.87E-01
2.06E+00,3.42E+00,7.13E-01
4.27E+00,4.18E+00,7.94E-01
4.67E+00,3.74E+00,8.11E-01
5.63E+00,4.22E+00,7.17E-01
1.96E+00,3.74E+00,6.98E-01
4.27E+00,3.34E+00,8.18E-01
2.76E+00,3.66E+00,7.97E-01
